shape,n,insertion_seconds,merge_seconds,winner
random,4,0.000000500,0.000001458,insertion
random,8,0.000001291,0.000003667,insertion
random,16,0.000004750,0.000009333,insertion
random,32,0.000016292,0.000021750,insertion
random,64,0.000063000,0.000050583,merge
random,128,0.000236625,0.000112916,merge
random,256,0.000923167,0.000247958,merge
random,512,0.003917958,0.000542916,merge
random,1024,0.016511333,0.001190583,merge
random,2048,0.066669417,0.002597209,merge
random,4096,0.274931791,0.005615334,merge
random,8192,1.131964417,0.012177209,merge
nearly sorted,4,0.000000291,0.000001458,insertion
nearly sorted,8,0.000000541,0.000003583,insertion
nearly sorted,16,0.000001333,0.000008042,insertion
nearly sorted,32,0.000002375,0.000017750,insertion
nearly sorted,64,0.000005042,0.000039458,insertion
nearly sorted,128,0.000011750,0.000086250,insertion
nearly sorted,256,0.000024625,0.000185709,insertion
nearly sorted,512,0.000054083,0.000412125,insertion
nearly sorted,1024,0.000121708,0.000891083,insertion
nearly sorted,2048,0.000249083,0.001867041,insertion
nearly sorted,4096,0.000511917,0.003958667,insertion
nearly sorted,8192,0.001005083,0.008460125,insertion
