n,naive_seconds,memo_seconds,table_seconds,constant_seconds
5,0.000002208,0.000001584,0.000000333,0.000000167
6,0.000001042,0.000001584,0.000000333,0.000000166
7,0.000001458,0.000001625,0.000000333,0.000000208
8,0.000002333,0.000001750,0.000000375,0.000000167
9,0.000003542,0.000001875,0.000000375,0.000000166
10,0.000005459,0.000002083,0.000000417,0.000000208
11,0.000008834,0.000002167,0.000000417,0.000000250
12,0.000014041,0.000002208,0.000000458,0.000000250
13,0.000022459,0.000002333,0.000000500,0.000000250
14,0.000038167,0.000002375,0.000000583,0.000000250
15,0.000061542,0.000002459,0.000000583,0.000000333
16,0.000094542,0.000002584,0.000000584,0.000000292
17,0.000151542,0.000002708,0.000000625,0.000000333
18,0.000245625,0.000002791,0.000000667,0.000000333
19,0.000396708,0.000002875,0.000000708,0.000000375
20,0.000642375,0.000002917,0.000000750,0.000000375
21,0.001040959,0.000003416,0.000000750,0.000000375
22,0.001682750,0.000003542,0.000000833,0.000000375
23,0.002751958,0.000003667,0.000000875,0.000000417
24,0.004453625,0.000004125,0.000000875,0.000000417
25,0.006977667,0.000003833,0.000000916,0.000000458
26,0.011433125,0.000004166,0.000000875,0.000000500
27,0.018626666,0.000004042,0.000000958,0.000000500
28,0.030179000,0.000004250,0.000001000,0.000000500
29,0.048884375,0.000004292,0.000001042,0.000000541
30,0.077772125,0.000004583,0.000001125,0.000000542
31,,0.000004667,0.000001167,0.000000583
32,,0.000004708,0.000001167,0.000000625
33,,0.000004625,0.000001208,0.000000625
34,,0.000005000,0.000001208,0.000000666
35,,0.000005042,0.000001292,0.000000666
