algorithm,shape,n,comparisons,note
bubble,random,64,1971,
bubble,random,128,8092,
bubble,random,256,32634,
bubble,random,512,130540,
bubble,random,1024,523341,
bubble,random,2048,2093850,
insertion,random,64,1142,
insertion,random,128,4347,
insertion,random,256,17057,
insertion,random,512,66953,
insertion,random,1024,263769,
insertion,random,2048,1037446,
selection,random,64,2016,
selection,random,128,8128,
selection,random,256,32640,
selection,random,512,130816,
selection,random,1024,523776,
selection,random,2048,2096128,
merge,random,256,1726,
merge,random,512,3968,
merge,random,1024,8960,
merge,random,2048,20001,
merge,random,4096,44022,
merge,random,8192,96162,
merge,random,16384,208678,
quick (random pivot),random,256,8455,
quick (random pivot),random,512,17835,
quick (random pivot),random,1024,39437,
quick (random pivot),random,2048,95394,
quick (random pivot),random,4096,199787,
quick (random pivot),random,8192,482141,
quick (random pivot),random,16384,955212,
quick (last pivot),random,64,345,
quick (last pivot),random,128,877,
quick (last pivot),random,256,2030,
quick (last pivot),random,512,4964,
quick (last pivot),random,1024,10546,
quick (last pivot),random,2048,23376,
heap,random,256,3310,
heap,random,512,7600,
heap,random,1024,17238,
heap,random,2048,38559,
heap,random,4096,85564,
heap,random,8192,187759,
heap,random,16384,408308,
bubble,sorted,64,63,
bubble,sorted,128,127,
bubble,sorted,256,255,
bubble,sorted,512,511,
bubble,sorted,1024,1023,
bubble,sorted,2048,2047,
insertion,sorted,64,63,
insertion,sorted,128,127,
insertion,sorted,256,255,
insertion,sorted,512,511,
insertion,sorted,1024,1023,
insertion,sorted,2048,2047,
selection,sorted,64,2016,
selection,sorted,128,8128,
selection,sorted,256,32640,
selection,sorted,512,130816,
selection,sorted,1024,523776,
selection,sorted,2048,2096128,
merge,sorted,256,1024,
merge,sorted,512,2304,
merge,sorted,1024,5120,
merge,sorted,2048,11264,
merge,sorted,4096,24576,
merge,sorted,8192,53248,
merge,sorted,16384,114688,
quick (random pivot),sorted,256,8414,
quick (random pivot),sorted,512,18830,
quick (random pivot),sorted,1024,43356,
quick (random pivot),sorted,2048,100895,
quick (random pivot),sorted,4096,215990,
quick (random pivot),sorted,8192,466371,
quick (random pivot),sorted,16384,1044069,
quick (last pivot),sorted,64,2016,
quick (last pivot),sorted,128,8128,
quick (last pivot),sorted,256,32640,
quick (last pivot),sorted,512,130816,
heap,sorted,256,3452,
heap,sorted,512,7958,
heap,sorted,1024,18060,
heap,sorted,2048,40204,
heap,sorted,4096,88835,
heap,sorted,8192,194316,
heap,sorted,16384,421566,
bubble,reversed,64,2016,
bubble,reversed,128,8128,
bubble,reversed,256,32640,
bubble,reversed,512,130816,
bubble,reversed,1024,523776,
bubble,reversed,2048,2096128,
insertion,reversed,64,2016,
insertion,reversed,128,8128,
insertion,reversed,256,32640,
insertion,reversed,512,130816,
insertion,reversed,1024,523776,
insertion,reversed,2048,2096128,
selection,reversed,64,2016,
selection,reversed,128,8128,
selection,reversed,256,32640,
selection,reversed,512,130816,
selection,reversed,1024,523776,
selection,reversed,2048,2096128,
merge,reversed,256,1024,
merge,reversed,512,2304,
merge,reversed,1024,5120,
merge,reversed,2048,11264,
merge,reversed,4096,24576,
merge,reversed,8192,53248,
merge,reversed,16384,114688,
quick (random pivot),reversed,256,8299,
quick (random pivot),reversed,512,19328,
quick (random pivot),reversed,1024,41911,
quick (random pivot),reversed,2048,94044,
quick (random pivot),reversed,4096,195182,
quick (random pivot),reversed,8192,473210,
quick (random pivot),reversed,16384,990220,
quick (last pivot),reversed,64,2016,
quick (last pivot),reversed,128,8128,
quick (last pivot),reversed,256,32640,
quick (last pivot),reversed,512,130816,
quick (last pivot),reversed,1024,-1,RecursionError
heap,reversed,256,3106,
heap,reversed,512,7203,
heap,reversed,1024,16407,
heap,reversed,2048,36973,
heap,reversed,4096,82304,
heap,reversed,8192,180760,
heap,reversed,16384,394520,
bubble,nearly sorted,64,363,
bubble,nearly sorted,128,988,
bubble,nearly sorted,256,2259,
bubble,nearly sorted,512,7560,
bubble,nearly sorted,1024,14231,
bubble,nearly sorted,2048,24498,
insertion,nearly sorted,64,86,
insertion,nearly sorted,128,200,
insertion,nearly sorted,256,421,
insertion,nearly sorted,512,801,
insertion,nearly sorted,1024,1723,
insertion,nearly sorted,2048,3434,
selection,nearly sorted,64,2016,
selection,nearly sorted,128,8128,
selection,nearly sorted,256,32640,
selection,nearly sorted,512,130816,
selection,nearly sorted,1024,523776,
selection,nearly sorted,2048,2096128,
merge,nearly sorted,256,1093,
merge,nearly sorted,512,2434,
merge,nearly sorted,1024,5460,
merge,nearly sorted,2048,11919,
merge,nearly sorted,4096,25857,
merge,nearly sorted,8192,55785,
merge,nearly sorted,16384,119648,
quick (random pivot),nearly sorted,256,8037,
quick (random pivot),nearly sorted,512,20016,
quick (random pivot),nearly sorted,1024,44015,
quick (random pivot),nearly sorted,2048,96846,
quick (random pivot),nearly sorted,4096,209191,
quick (random pivot),nearly sorted,8192,466021,
quick (random pivot),nearly sorted,16384,1038330,
quick (last pivot),nearly sorted,64,1454,
quick (last pivot),nearly sorted,128,5123,
quick (last pivot),nearly sorted,256,22366,
quick (last pivot),nearly sorted,512,89192,
heap,nearly sorted,256,3440,
heap,nearly sorted,512,7950,
heap,nearly sorted,1024,17991,
heap,nearly sorted,2048,40208,
heap,nearly sorted,4096,88797,
heap,nearly sorted,8192,194218,
heap,nearly sorted,16384,421504,
bubble,few unique,64,1950,
bubble,few unique,128,7750,
bubble,few unique,256,30929,
bubble,few unique,512,123913,
bubble,few unique,1024,497211,
bubble,few unique,2048,2003032,
insertion,few unique,64,979,
insertion,few unique,128,3622,
insertion,few unique,256,13721,
insertion,few unique,512,53330,
insertion,few unique,1024,210959,
insertion,few unique,2048,823738,
selection,few unique,64,2016,
selection,few unique,128,8128,
selection,few unique,256,32640,
selection,few unique,512,130816,
selection,few unique,1024,523776,
selection,few unique,2048,2096128,
merge,few unique,256,1637,
merge,few unique,512,3758,
merge,few unique,1024,8509,
merge,few unique,2048,18829,
merge,few unique,4096,41223,
merge,few unique,8192,89679,
merge,few unique,16384,193396,
quick (random pivot),few unique,256,2618,
quick (random pivot),few unique,512,4700,
quick (random pivot),few unique,1024,10019,
quick (random pivot),few unique,2048,21789,
quick (random pivot),few unique,4096,32633,
quick (random pivot),few unique,8192,75698,
quick (random pivot),few unique,16384,137749,
quick (last pivot),few unique,64,563,
quick (last pivot),few unique,128,1801,
quick (last pivot),few unique,256,7027,
quick (last pivot),few unique,512,27426,
quick (last pivot),few unique,1024,107392,
quick (last pivot),few unique,2048,424201,
heap,few unique,256,2875,
heap,few unique,512,6377,
heap,few unique,1024,14344,
heap,few unique,2048,32215,
