algorithm,n,seconds
bubble,64,0.00009646
bubble,128,0.00037354
bubble,256,0.00146108
bubble,512,0.00649317
bubble,1024,0.02899033
bubble,2048,0.12348833
insertion,64,0.00006171
insertion,128,0.00024121
insertion,256,0.00094192
insertion,512,0.00393042
insertion,1024,0.01657763
insertion,2048,0.06695929
selection,64,0.00005667
selection,128,0.00020783
selection,256,0.00079604
selection,512,0.00357937
selection,1024,0.01469454
selection,2048,0.05932329
merge,256,0.00025033
merge,512,0.00054508
merge,1024,0.00119571
merge,2048,0.00265462
merge,4096,0.00575363
merge,8192,0.01237604
merge,16384,0.02616187
quick (random pivot),256,0.00029287
quick (random pivot),512,0.00059246
quick (random pivot),1024,0.00126921
quick (random pivot),2048,0.00285525
quick (random pivot),4096,0.00605429
quick (random pivot),8192,0.01355354
quick (random pivot),16384,0.02724437
quick (last pivot),64,0.00002054
quick (last pivot),128,0.00004675
quick (last pivot),256,0.00009808
quick (last pivot),512,0.00024733
quick (last pivot),1024,0.00057396
quick (last pivot),2048,0.00125679
heap,256,0.00022779
heap,512,0.00053192
heap,1024,0.00120692
heap,2048,0.00269625
heap,4096,0.00599508
heap,8192,0.01337800
heap,16384,0.02916421
counting,256,0.00013417
counting,512,0.00029888
counting,1024,0.00063233
counting,2048,0.00131533
counting,4096,0.00268679
counting,8192,0.00554717
counting,16384,0.01095558
radix,256,0.00007429
radix,512,0.00014217
radix,1024,0.00032917
radix,2048,0.00065183
radix,4096,0.00130821
radix,8192,0.00259833
radix,16384,0.00605458
