algorithm,shape,n,seconds
naive,adversarial,1000,0.00220954
kmp,adversarial,1000,0.00012237
rabin-karp,adversarial,1000,0.00017633
naive,random,1000,0.00006429
kmp,random,1000,0.00005571
rabin-karp,random,1000,0.00017037
naive,adversarial,2000,0.00458363
kmp,adversarial,2000,0.00024196
rabin-karp,adversarial,2000,0.00035663
naive,random,2000,0.00012975
kmp,random,2000,0.00011158
rabin-karp,random,2000,0.00034300
naive,adversarial,4000,0.00934658
kmp,adversarial,4000,0.00049137
rabin-karp,adversarial,4000,0.00073267
naive,random,4000,0.00026546
kmp,random,4000,0.00022767
rabin-karp,random,4000,0.00070217
naive,adversarial,8000,0.01905817
kmp,adversarial,8000,0.00100183
rabin-karp,adversarial,8000,0.00149117
naive,random,8000,0.00053242
kmp,random,8000,0.00044813
rabin-karp,random,8000,0.00138400
naive,adversarial,16000,0.03779404
kmp,adversarial,16000,0.00192012
rabin-karp,adversarial,16000,0.00288833
naive,random,16000,0.00104425
kmp,random,16000,0.00089458
rabin-karp,random,16000,0.00276950
